Ticker,Year,ESG Score,E Score,S Score,G Score,ESG Grade,E Grade,S Grade,G Grade,Company Name,Accumulated Other Comprehensive Income (Loss),Assets - Other,Accum Other Comp Inc - Other Adjustments,Accum Other Comp Inc - Unreal G/L Ret Int in Sec Assets,Assets and Liabilities - Other - Net Change,Accounts Payable - Trade,Assets - Total,Book Value Per Share,Capital Surplus/Share Premium Reserve,Capital Expenditures,Common/Ordinary Equity - Total,Common Equity - Liquidation Value,Common Equity - Tangible,Cash and Short-Term Investments,Cash and Cash Equivalents - Increase/(Decrease),Comprehensive Income - Total,Comp Inc - Beginning Net Income,Comprehensive Income - Noncontrolling Interest,Comp Inc - Other Adj,Comp Inc - Minimum Pension Adj,Comprehensive Income - Parent,Cost of Goods Sold,Common Shares Used to Calc Earnings Per Share - Fully Diluted,Common Shares Issued,Common Shares Outstanding,Common Shares Used to Calculate Earnings Per Share - Basic,Common/Ordinary Shareholders,Common/Ordinary Stock (Capital),Common Stock-Carrying Value,Common Stock Equivalents - Dollar Savings,Dilution Adjustment,Dilution Available - Excluding Extraordinary Items,Debt in Current Liabilities - Total,Long-Term Debt - Issuance,Long-Term Debt - Reduction,Long-Term Debt - Total,Discontinued Operations,Cash Dividends (Cash Flow),Dividends Common/Ordinary,Dividends - Preferred/Preference,Dividends - Total,Earnings Before Interest and Taxes,Employees,Earnings Per Share (Diluted) - Including Extraordinary Items,Earnings Per Share (Diluted) - Excluding Extraordinary Items,Earnings Per Share (Basic) - Including Extraordinary Items,Earnings Per Share (Basic) - Excluding Extraordinary Items,Common ESOP Obligation - Total,Preferred ESOP Obligation - Total,Exchange Rate Effect,Financing Activities - Other,Financing Activities - Net Cash Flow,Funds from Operations - Other,Gross Profit (Loss),Income Before Extraordinary Items,Income Before Extraordinary Items - Adjusted for Common Stock Equivalents,Income Before Extraordinary Items (Cash Flow),Income Before Extraordinary Items - Available for Common,Invested Capital - Total,Investing Activities - Other,Investing Activities - Net Cash Flow,Liabilities - Other - Total,Liabilities and Stockholders Equity - Total,Liabilities - Total,Noncontrolling Interest (Balance Sheet),Net Income (Loss),Net Income Adjusted for Common/Ordinary Stock (Capital) Equivalents,Nonoperating Income (Expense),Notes Payable - Short-Term Borrowings,Operating Activities - Net Cash Flow,Operating Income After Depreciation,Earnings Per Share from Operations,Earnings Per Share - Diluted - from Operations,Pretax Income,Nonred Pfd Shares Outs (000),Redeem Pfd Shares Outs (000),Preferred/Preference Stock (Capital) - Total,Preferred Stock - Liquidating Value,Preferred/Preference Stock - Nonredeemable,Preferred/Preference Stock - Redeemable,Preferred Stock - Redemption Value,Retained Earnings,Receivables - Total,Revenue - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Special Items,Stock Compensation Expense,Stockholders Equity - Total,Treasury Stock - Total (All Capital),Treasury Stock - Common,Treasury Stock - Number of Common Shares,Treasury Stock - Preferrred,Excess Tax Benefit of Stock Options - Cash Flow Financing,Net Deferred Tax Asset (Liab) - Total,Income Taxes Paid,Income Taxes - Total,Extraordinary Items and Discontinued Operations,Extraordinary Items and Discontinued Operations (Cash Flow),Operating Expenses - Total,Stock Exchange Code,North America Industrial Classification System - Historical,Standard Industrial Classification - Historical,Common Shares Traded - Annual - Calendar,Dividends per Share - Pay Date - Calendar,Dividends per Share - Ex-Date - Calendar,Price Close - Annual - Calendar,Price High - Annual - Calendar,Price Low - Annual - Calendar,Cumulative Adjustment Factor by Ex-Date - Calendar,Common Shares Traded - Annual - Fiscal,Dividends per Share - Pay Date - Fiscal,Dividends per Share - Ex-Date - Fiscal,Price Close - Annual - Fiscal,Price High - Annual - Fiscal,Price Low - Annual - Fiscal,GIC Groups,GIC Industries,GIC Sectors,GIC Sub-Industries,North American Industry Classification Code
PNW,2017,57.0006264,61.36258727,61.38922483,43.88011494,B-,B,B,C+,PINNACLE WEST CAPITAL CORP,-45.002,1686.528,0,0,-25.331,256.442,17019.082,44.8018,0,1430.886,5006.69,5006.69,4749.501,13.892,5.011,506.769,507.949,19.493,0,-3.37,487.276,2096.751,112.367,111.816,111.752,111.839,18.684,2614.805,23.38,0,0,488.456,177.4,848.239,125,4789.713,0,289.793,301.492,0,301.492,934.427,6.292,4.35,4.35,4.37,4.37,0,0,0,-22.744,315.512,-90.054,1468.545,488.456,488.456,507.949,488.456,9925.443,4.63,-1428.537,3999.407,17019.082,11883.352,0,488.456,488.456,51.59,95.4,1118.036,934.427,4.45,4.43,766.221,0,0,0,0,0,0,0,2397.509,415.068,3565.296,3565.296,5006.69,0,20.502,5135.73,5.624,5.624,0.064,0,0,-1690.805,2.186,258.272,0,0,2096.751,11,2211,4911,166621175,2.66,2.66,85.18,92.48,75.79,1,166621175,2.66,2.66,85.18,92.48,75.79,5510,551010,55,55101010,4911
PNW,2018,62.71246857,82.31529962,59.28582784,33.84228874,B,A-,B,C,PINNACLE WEST CAPITAL CORP,-47.708,1858.507,0,0,-14.326,277.336,17664.202,46.5907,0,1203.349,5222.915,5222.915,4960.013,5.766,-8.126,536.386,530.54,19.493,0,4.397,516.893,2335.206,112.55,112.16,112.102,112.129,17.769,2634.265,23.49,0,0,511.047,576.4,445.245,182,4638.232,0,308.892,320.927,0,320.927,773.687,6.259,4.54,4.54,4.56,4.56,0,0,0,-22.744,-92.446,5.701,1356.041,511.047,511.047,530.54,511.047,9986.937,29.657,-1192.824,4020.475,17664.202,12315.497,0,511.047,511.047,118.067,76.4,1277.144,773.687,4.44,4.43,664.442,0,0,0,0,0,0,0,2593.475,400.988,3691.247,3691.247,5222.915,16.153,19.547,5348.705,4.825,4.825,0.058,0,0,-1807.421,21.173,133.902,0,0,2335.206,11,2211,4911,236025560,2.8225,2.8225,85.2,92.64,73.4136,1,236025560,2.8225,2.8225,85.2,92.64,73.4136,5510,551010,55,55101010,4911
PNW,2019,65.45011928,81.62882419,61.80641529,42.68313613,B,A-,B,C+,PINNACLE WEST CAPITAL CORP,-57.096,1770.091,0,0,-208.813,346.448,18479.247,48.2999,0,1209.975,5430.648,5430.648,5140.084,10.283,4.517,548.425,557.813,19.493,0,-10.525,528.932,2208.32,112.758,112.54,112.436,112.443,16.942,2659.561,23.63,0,0,538.32,927.388,1092.188,600,4884.43,0,329.643,341.893,0,341.893,671.96,6.21,4.77,4.77,4.79,4.79,0,0,0,-22.744,178.768,-46.028,1262.889,538.32,538.32,557.813,538.32,10437.618,82.145,-1130.977,3774.457,18479.247,12926.059,0,538.32,538.32,65.508,114.675,956.726,671.96,4.51,4.5,542.04,0,0,0,0,0,0,0,2780.514,386.42,3471.209,3471.209,5430.648,39.823,18.376,5553.188,9.427,9.427,0.104,0,0,-1992.339,12.535,-15.773,0,0,2208.32,11,2211,4911,245931175,2.995,2.995,89.93,99.81,81.63,1,245931175,2.995,2.995,89.93,99.81,81.63,5510,551010,55,55101010,4911
PNW,2020,62.60131032,72.19845091,63.62850656,44.95081618,B,B+,B,C+,PINNACLE WEST CAPITAL CORP,-62.796,2019.393,0,0,-216.471,318.585,20020.421,49.992,0,1345.114,5633.503,5633.503,5350.933,59.968,49.685,564.352,570.052,19.493,0,-4.203,544.859,2184.452,112.942,112.76,112.688,112.666,16.415,2677.482,23.74,0,0,550.559,243.785,1596.672,915.15,6675.602,0,350.577,363.063,0,363.063,788.152,6.026,4.87,4.87,4.89,4.89,0,0,0,-22.743,361.138,-121.182,1402.53,550.559,550.559,570.052,550.559,12428.395,70.386,-1277.818,3904.818,20020.421,14267.628,0,550.559,550.559,65.588,169,966.365,788.152,4.59,4.58,648.225,0,0,0,0,0,0,0,2962.31,425.991,3586.982,3586.982,5633.503,41.986,18.292,5752.793,6.289,6.289,0.072,0,0,-2135.403,-3.019,78.173,0,0,2184.452,11,2211,4911,263504392,3.1775,3.1775,79.95,105.51,60.05,1,263504392,3.1775,3.1775,79.95,105.51,60.05,5510,551010,55,55101010,4911
PNW,2021,63.77429379,72.55931036,67.36005962,44.17827005,B,B+,B+,C+,PINNACLE WEST CAPITAL CORP,-54.861,2279.874,0,0,-285.204,393.083,22003.222,52.301,0,1494.527,5906.2,5906.2,5632.507,9.969,-49.999,643.879,635.944,17.224,0,6.84,626.655,2347.65,113.192,113.015,112.927,112.91,15.73,2702.743,23.92,0,0,618.72,542.443,746.999,0,7642.136,0,369.478,379.108,0,379.108,805.31,5.872,5.47,5.47,5.48,5.48,0,0,0,-21.255,476.916,-235.591,1456.185,618.72,618.72,635.944,618.72,13663.596,112.112,-1386.929,4084.325,22003.222,15981.762,0,618.72,618.72,156.713,292,860.014,805.31,5.21,5.2,746.03,0,0,0,0,0,0,0,3209.858,500.549,3803.835,3803.835,5906.2,38.321,18.46,6021.46,6.401,6.401,0.088,0,0,-2311.862,0.229,110.086,0,0,2347.65,11,2211,4911,255761798,3.34,3.34,70.59,88.54,62.78,1,255761798,3.34,3.34,70.59,88.54,62.78,5510,551010,55,55101010,4911
ABT,2017,81.98771523,75.60593245,82.54658493,84.23003542,A-,A-,A-,A,ABBOTT LABORATORIES,-6062,2483,0,0,724,2402,76250,17.7202,0,1135,30897,30897,-14596,9610,-9213,1529,477,25,0,-243,1504,10113,1749,1965.908,1743.602,1740,44.581,23206,11.8,-7,0,346,714,6742,8650,27210,124,1849,1947,0,1947,3996,99,0.27,0.2,0.27,0.2,0,0,116,-1757,-5281,1335,17277,353,346,378,353,58308,6077,-9618,7024,76250,45152,0,477,470,210,206,5570,3996,1.44,1.44,2256,0,0,0,0,0,0,0,17916,5249,27390,27390,30897,-1043,406,31098,10225,10225,222.306,0,0,-616,570,1878,124,124,20373,11,325412,2834,1656250080,1.06,1.06,57.07,57.765,38.34,1,1656250080,1.06,1.06,57.07,57.765,38.34,3510,351010,35,35101010,3845
ABT,2018,77.57474916,75.49705449,81.23966099,73.71887276,A-,A-,A-,B+,ABBOTT LABORATORIES,-7586,2192,0,0,770,2975,67173,17.3865,0,1394,30524,30524,-11672,4086,-5563,1176,2368,0,0,132,1176,11377,1770,1971.189,1755.619,1758,42.827,23512,11.928,-14,0,2320,207,4009,12433,19359,34,1974,2047,0,2047,4284,103,1.33,1.31,1.34,1.32,0,0,-116,-26,-10391,802,19201,2334,2320,2334,2334,50081,96,-1356,6024,67173,36451,0,2368,2354,247,200,6300,4284,1.77,1.76,2873,0,0,0,0,0,0,0,16974,5182,30578,30578,30524,-832,477,30722,9962,9962,215.57,0,0,-1275,740,539,34,34,23016,11,325412,2834,1551061917,1.12,1.12,72.33,74.92,55.58,1,1551061917,1.12,1.12,72.33,74.92,55.58,3510,351010,35,35101010,3845
ABT,2019,80.79198232,74.94320042,85.03214708,77.93853027,A-,B+,A,A-,ABBOTT LABORATORIES,-8465,2491,0,0,82,3252,67887,17.6386,0,1638,31088,31088,-9132,4140,16,2808,3687,0,0,-814,2808,11949,1781,1976.855,1762.503,1768,38.99,23853,12.066,-21,0,3666,1683,1842,3441,17416,0,2270,2343,0,2343,5041,107,2.06,2.06,2.07,2.07,0,0,-16,0,-4289,766,19955,3687,3666,3687,3687,48717,75,-1815,6761,67887,36586,0,3687,3666,293,201,6136,5041,2.29,2.27,4077,0,0,0,0,0,0,0,17382,5425,31904,31904,31088,-587,519,31301,10147,10147,214.352,0,0,-536,930,390,0,0,23849,11,334510,3845,1296306947,1.28,1.28,86.86,89.24,65.5,1,1296306947,1.28,1.28,86.86,89.24,65.5,3510,351010,35,35101010,3845
ABT,2020,82.81488241,76.45433845,84.81742241,83.1464586,A-,A-,A,A-,ABBOTT LABORATORIES,-8946,2994,0,0,1139,3946,72548,18.5092,0,2177,32784,32784,-5744,7148,2978,4014,4495,0,0,-331,4014,13496,1786,1981.157,1771.23,1773,37.45,24145,12.187,-22,0,4449,461,1281,1333,19429,24,2560,2722,0,2722,5785,109,2.5,2.49,2.52,2.51,0,0,71,-9,-2779,971,21112,4471,4449,4471,4471,52432,77,-2215,6803,72548,39545,0,4495,4473,196,213,7901,5785,2.65,2.63,4968,0,0,0,0,0,0,0,18681,6414,34608,34608,32784,-467,546,33003,10042,10042,209.927,0,0,-243,970,497,24,24,25496,11,334510,3845,1691610732,1.44,1.44,109.49,115.14,61.61,1,1691610732,1.44,1.44,109.49,115.14,61.61,3510,351010,35,35101010,3845
ABT,2021,82.55267556,77.74269156,84.05113198,82.82436714,A-,A-,A,A-,ABBOTT LABORATORIES,-8374,4450,0,0,976,4408,75196,20.295,0,1885,35802,35802,-168,10249,2961,7643,7071,0,0,1201,7643,16627,1789,1985.273,1764.082,1775,35.926,24470,12.326,-29,0,7042,999,4,48,18252,0,3202,3235,0,3235,8966,113,3.94,3.94,3.97,3.97,0,0,-70,-204,-5494,695,26448,7071,7042,7071,7071,54276,160,-2008,6423,75196,39172,0,7071,7042,317,0,10533,8966,4.21,4.17,8211,0,0,0,0,0,0,0,23154,6487,43075,43075,35802,-539,640,36024,11822,11822,221.191,0,0,-186,1941,1140,0,0,30571,11,334510,3845,1346601352,1.8,1.8,140.74,142.6,105.36,1,1346601352,1.8,1.8,140.74,142.6,105.36,3510,351010,35,35101010,3845
